2026-04-21 23:52:41 | INFO    | src.institution_processor | ==> Instituição 10440482 (13 arquivo(s))
2026-04-21 23:52:41 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-10440482.pdf (1.90 MB)
2026-04-21 23:52:44 | INFO    | src.gemini_client | Arquivo pronto: files/afa3t45cw2me (estado=ACTIVE)
2026-04-21 23:53:28 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-10440482.pdf (1.37 MB)
2026-04-21 23:53:31 | INFO    | src.gemini_client | Arquivo pronto: files/faub8lhnd46s (estado=ACTIVE)
2026-04-21 23:54:29 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-10440482.pdf (1.89 MB)
2026-04-21 23:54:32 | INFO    | src.gemini_client | Arquivo pronto: files/jnsibu0andyz (estado=ACTIVE)
2026-04-21 23:55:13 | WARNING | src.gemini_client | Resposta de 202012-9010-10440482.pdf veio como lista de 1 elemento — desembrulhando.
2026-04-21 23:55:16 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-10440482.pdf (1.21 MB)
2026-04-21 23:55:19 | INFO    | src.gemini_client | Arquivo pronto: files/ik4dkp1zs6vi (estado=ACTIVE)
2026-04-21 23:56:04 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-10440482.pdf (1.39 MB)
2026-04-21 23:56:06 | INFO    | src.gemini_client | Arquivo pronto: files/7a6ahj3zzkqh (estado=ACTIVE)
2026-04-21 23:57:02 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-10440482.pdf (8.18 MB)
2026-04-21 23:57:11 | INFO    | src.gemini_client | Arquivo pronto: files/ng5qlgvonqz0 (estado=ACTIVE)
2026-04-21 23:58:10 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-10440482.pdf (6.67 MB)
2026-04-21 23:58:13 | INFO    | src.gemini_client | Arquivo pronto: files/ncgebw3pf1wl (estado=ACTIVE)
2026-04-21 23:59:07 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-10440482.pdf (0.91 MB)
2026-04-21 23:59:09 | INFO    | src.gemini_client | Arquivo pronto: files/wxx30jwm6yqb (estado=ACTIVE)
2026-04-21 23:59:56 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-10440482.pdf (31.04 MB)
2026-04-22 00:00:05 | INFO    | src.gemini_client | Arquivo pronto: files/9m0fhjfzynwf (estado=ACTIVE)
2026-04-22 00:00:59 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-10440482.pdf (14.95 MB)
2026-04-22 00:01:05 | INFO    | src.gemini_client | Arquivo pronto: files/wwcohwqlu47r (estado=ACTIVE)
2026-04-22 00:02:06 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-10440482.pdf (0.97 MB)
2026-04-22 00:02:10 | INFO    | src.gemini_client | Arquivo pronto: files/5cleuprzawzx (estado=ACTIVE)
2026-04-22 00:02:54 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-10440482.pdf (4.37 MB)
2026-04-22 00:02:58 | INFO    | src.gemini_client | Arquivo pronto: files/0ph1q06y1h04 (estado=ACTIVE)
2026-04-22 00:03:54 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-10440482.pdf (1.12 MB)
2026-04-22 00:03:57 | INFO    | src.gemini_client | Arquivo pronto: files/4wjmcgayp2rw (estado=ACTIVE)
