bloco,escopo,nivel,descricao,valor,cnpj,periodo
DFC,IND,32,Outros passivos,-4191000.0,01027058,2020-12-31
DFC,CON,32,Outros passivos,67062000.0,01027058,2020-12-31
DFC,IND,33,Caixa proveniente/(utilizado) das operações,-3373057000.0,01027058,2020-12-31
DFC,CON,33,Caixa proveniente/(utilizado) das operações,2573652000.0,01027058,2020-12-31
DFC,IND,34,Imposto de renda e contribuição social pagos,-58824000.0,01027058,2020-12-31
DFC,CON,34,Imposto de renda e contribuição social pagos,-358786000.0,01027058,2020-12-31
DFC,IND,35,Caixa líquido gerado pelas (aplicado nas) atividades operacionais,-3431881000.0,01027058,2020-12-31
DFC,CON,35,Caixa líquido gerado pelas (aplicado nas) atividades operacionais,2214866000.0,01027058,2020-12-31
DFC,IND,37,Aquisições de cotas FIDC's,-3505837000.0,01027058,2020-12-31
DFC,CON,37,Aquisições de cotas FIDC's,0.0,01027058,2020-12-31
DFC,IND,38,Resgate de cotas FIDC's,9985053000.0,01027058,2020-12-31
DFC,CON,38,Resgate de cotas FIDC's,0.0,01027058,2020-12-31
DFC,IND,39,Alienação de participação em controlada,1305064000.0,01027058,2020-12-31
DFC,CON,39,Alienação de participação em controlada,0.0,01027058,2020-12-31
DFC,IND,40,Aporte de capital em controladas,-95297000.0,01027058,2020-12-31
DFC,CON,40,Aporte de capital em controladas,0.0,01027058,2020-12-31
DFC,IND,41,Dividendos recebidos de subsidiárias,350414000.0,01027058,2020-12-31
DFC,CON,41,Dividendos recebidos de subsidiárias,2124000.0,01027058,2020-12-31
DFC,IND,42,Aquisições de imobilizado de uso,-389946000.0,01027058,2020-12-31
DFC,CON,42,Aquisições de imobilizado de uso,-419445000.0,01027058,2020-12-31
DFC,IND,43,Alienação de intangível,0.0,01027058,2020-12-31
DFC,CON,43,Alienação de intangível,0.0,01027058,2020-12-31
DFC,IND,44,Aquisições de intagível,-258882000.0,01027058,2020-12-31
DFC,CON,44,Aquisições de intagível,-348590000.0,01027058,2020-12-31
DFC,IND,45,Caixa líquido gerado (aplicado) nas atividades de investimento,7390569000.0,01027058,2020-12-31
DFC,CON,45,Caixa líquido gerado (aplicado) nas atividades de investimento,-765911000.0,01027058,2020-12-31
DFC,IND,47,Captação de empréstimos,6097196000.0,01027058,2020-12-31
DFC,CON,47,Captação de empréstimos,6097196000.0,01027058,2020-12-31
DFC,IND,48,"Pagamento de principal de empréstimos, líquido de derivativos",-7143479000.0,01027058,2020-12-31
DFC,CON,48,"Pagamento de principal de empréstimos, líquido de derivativos",-7143479000.0,01027058,2020-12-31
DFC,IND,49,Custos incorridos sobre emissão de dívidas,-22040000.0,01027058,2020-12-31
DFC,CON,49,Custos incorridos sobre emissão de dívidas,-22040000.0,01027058,2020-12-31
DFC,IND,50,Juros pagos,-294495000.0,01027058,2020-12-31
DFC,CON,50,Juros pagos,-309679000.0,01027058,2020-12-31
DFC,IND,51,Cotas de terceiros FIDC,0.0,01027058,2020-12-31
DFC,CON,51,Cotas de terceiros FIDC,3041462000.0,01027058,2020-12-31
DFC,IND,52,Amortização de cotas de terceiros FIDC,0.0,01027058,2020-12-31
DFC,CON,52,Amortização de cotas de terceiros FIDC,-2000352000.0,01027058,2020-12-31
DFC,IND,53,Aquisição de ações em tesouraria,-40214000.0,01027058,2020-12-31
DFC,CON,53,Aquisição de ações em tesouraria,-40214000.0,01027058,2020-12-31
DFC,IND,54,Dividendos e juros sobre o capital próprio,-81276000.0,01027058,2020-12-31
DFC,CON,54,Dividendos e juros sobre o capital próprio,-217687000.0,01027058,2020-12-31
DFC,IND,55,Resgate de ações pagos a terceiros,0.0,01027058,2020-12-31
DFC,CON,55,Resgate de ações pagos a terceiros,-559313000.0,01027058,2020-12-31
DFC,IND,56,Caixa líquido proveniente das (aplicado nas) atividades de financiamento,-1484308000.0,01027058,2020-12-31
DFC,CON,56,Caixa líquido proveniente das (aplicado nas) atividades de financiamento,-1154106000.0,01027058,2020-12-31
DFC,IND,57,Aumento do saldo de caixa e equivalentes de caixa,2474380000.0,01027058,2020-12-31
DFC,CON,57,Aumento do saldo de caixa e equivalentes de caixa,294849000.0,01027058,2020-12-31
DFC,IND,59,Saldo final,2665780000.0,01027058,2020-12-31
DFC,CON,59,Saldo final,3507241000.0,01027058,2020-12-31
DFC,IND,60,Saldo inicial,191400000.0,01027058,2020-12-31
DFC,CON,60,Saldo inicial,3212392000.0,01027058,2020-12-31
DFC,IND,61,Aumento (Redução) do saldo de caixa e equivalentes de caixa,2474380000.0,01027058,2020-12-31
DFC,CON,61,Aumento (Redução) do saldo de caixa e equivalentes de caixa,294849000.0,01027058,2020-12-31
DMPL,IND,1,Capital social,5700000000.0,01027058,2020-12-31
DMPL,IND,2,Reserva de capital,67529000.0,01027058,2020-12-31
DMPL,IND,2.1,Ações restritas outorgadas,13468000.0,01027058,2020-12-31
DMPL,IND,2.2,Venda/transferencia de ações em tesouraria pelo exercício de ações,-11597000.0,01027058,2020-12-31
DMPL,IND,3,Ações em tesouraria,-84815000.0,01027058,2020-12-31
DMPL,IND,3.1,Aquisição de ações em tesouraria,-40214000.0,01027058,2020-12-31
DMPL,IND,3.2,Venda/transferencia de ações em tesouraria pelo exercício de ações,11597000.0,01027058,2020-12-31
DMPL,IND,4,Reserva legal,1140000000.0,01027058,2020-12-31
DMPL,IND,4.1,Reserva legal,11247000.0,01027058,2020-12-31
DMPL,IND,5,Reserva de orçamento de capital,2891907000.0,01027058,2020-12-31
DMPL,IND,5.1,Reserva de orçamento de capital,312581000.0,01027058,2020-12-31
DMPL,IND,6,Dividendos adicionais,0.0,01027058,2020-12-31
DMPL,IND,6.1,Dividendos pagos,0.0,01027058,2020-12-31
