inst_hash,bloco,escopo,nivel,descricao,valor,periodo
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,13,Lucro líquido por ação (em R$) - Básico,233.3247685800125,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,13,Lucro líquido por ação (em R$) - Básico,233.3247685800125,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,14,Lucro líquido por ação (em R$) - Diluído,232.6025206644478,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,14,Lucro líquido por ação (em R$) - Diluído,232.6025206644478,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,1,Lucro líquido do período,632288068.4958408,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,1,Lucro líquido do período,814480264.1107149,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,4,Variação cambial sobre investimentos no exterior,-322882220.38161266,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,4,Variação cambial sobre investimentos no exterior,-322882220.38161266,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,5,Benefício pós-emprego,17883374.28074984,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,5,Benefício pós-emprego,17883374.28074984,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,6,Movimentações do período,-304998846.10086286,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,6,Movimentações do período,-304998846.10086286,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,7,Resultado abrangente total do período,327289222.3949779,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,7,Resultado abrangente total do período,509481418.00985205,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,9,Acionistas controladores,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,9,Acionistas controladores,327289222.3949779,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,IND,10,Outros acionistas que não a Cielo,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DRA,CON,10,Outros acionistas que não a Cielo,182192195.61487418,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,2,Lucro antes do imposto de renda e da contribuição social,860796991.1531416,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,2,Lucro antes do imposto de renda e da contribuição social,1226496905.3719542,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,4,Depreciações e amortizações,609692026.5660313,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,4,Depreciações e amortizações,1584435233.9552877,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,5,Baixas/perdas de imobilizado e intangível,55451873.44589927,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,5,Baixas/perdas de imobilizado e intangível,108221111.77684401,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,6,Equivalência patrimonial,14659053.229121786,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,6,Equivalência patrimonial,2427268.887665599,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,7,Variação cambial sobre imobilizado e intangível,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,7,Variação cambial sobre imobilizado e intangível,-178938210.80957115,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,8,Ações restritas outorgadas,17370062.369330652,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,8,Ações restritas outorgadas,17370062.369330652,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,9,Transferência de ações em tesouraria pelo exercício de ações,-14956980.494292216,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,9,Transferência de ações em tesouraria pelo exercício de ações,-14956980.494292216,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,10,Perdas com créditos incobráveis e fraude,329577200.6132132,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,10,Perdas com créditos incobráveis e fraude,660152651.0240104,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,11,"Provisão para riscos tributários, cíveis e trabalhistas",77848007.47050774,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,11,"Provisão para riscos tributários, cíveis e trabalhistas",74937090.42509793,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,12,Variação cambial sobre juros de empréstimos e financiamentos captados no exterior,388898259.3210661,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,12,Variação cambial sobre juros de empréstimos e financiamentos captados no exterior,1017443535.940177,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,13,Resultado com instrumentos financeiros derivativos,-390035799.7880805,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,13,Resultado com instrumentos financeiros derivativos,-390035799.7880805,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,14,Juros sobre empréstimos e financiamentos,326051083.1111527,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,14,Juros sobre empréstimos e financiamentos,328103041.0284088,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,15,Amortização de custos de emissão de dívidas,43463847.77594617,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,15,Amortização de custos de emissão de dívidas,43463847.77594617,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,16,Rendimento de participação no FIDC,-547413620.5896251,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,CON,16,Rendimento de participação no FIDC,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DFC,IND,18,Rendas a receber,-68945012.18275236,2020-12-31
